Level,Description,SeriesRefSNDQ,Quarter,Weight,Amount
Industry groups,Accommodation services,SG01RSC04B01GH2,1999Q1,0.0192236,741.841
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1999Q1,0.0469003,1569.223
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1999Q1,0.0425161,839.533
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1999Q1,0.0421569,1779.014
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1999Q1,0.0558601,2255.733
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1999Q1,0.0780211,2114.160
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1999Q1,0.0646491,2520.242
Industry groups,Administrative and support services,SG01RSC04B01MN2,1999Q1,0.0180618,725.501
Industry groups,Local Government administration,SG01RSC04B01OO1,1999Q1,0.0043420,161.592
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1999Q1,0.0355741,1174.884
Industry groups,Education and training,SG01RSC04B01PP1,1999Q1,0.0424601,1883.975
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1999Q1,0.0480811,1941.971
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1999Q1,0.0146728,577.596
Industry groups,Other services,SG01RSC04B01RS2,1999Q1,0.0192678,744.708
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1999Q1,0.0697631,2526.905
Industry groups,Agriculture,SG01RSC04B01AA1,1999Q2,0.0456166,1892.280
Industry groups,Forestry and logging,SG01RSC04B01AA2,1999Q2,0.0077985,212.571
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1999Q2,0.0093450,362.909
Industry groups,Mining,SG01RSC04B01BB1,1999Q2,0.0105740,675.942
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1999Q2,0.0500862,1262.932
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1999Q2,0.0085406,258.405
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1999Q2,0.0170804,438.787
Industry groups,Printing,SG01RSC04B01CC4,1999Q2,0.0063396,194.889
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1999Q2,0.0256782,892.637
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1999Q2,0.0056830,183.082
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1999Q2,0.0179355,664.659
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1999Q2,0.0194549,788.431
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1999Q2,0.0047662,188.762
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1999Q2,0.0286994,1302.746
Industry groups,Construction,SG01RSC04B01EE1,1999Q2,0.0457365,1712.963
Industry groups,Wholesale trade,SG01RSC04B01FF1,1999Q2,0.0548521,2032.037
Industry groups,Retail trade,SG01RSC04B01GH1,1999Q2,0.0449146,1488.860
Industry groups,Accommodation services,SG01RSC04B01GH2,1999Q2,0.0184257,760.672
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1999Q2,0.0465764,1560.366
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1999Q2,0.0405294,851.307
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1999Q2,0.0437726,1797.894
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1999Q2,0.0561219,2274.373
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1999Q2,0.0743312,2126.255
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1999Q2,0.0670712,2585.364
Industry groups,Administrative and support services,SG01RSC04B01MN2,1999Q2,0.0182285,720.991
Industry groups,Local Government administration,SG01RSC04B01OO1,1999Q2,0.0038783,161.423
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1999Q2,0.0342141,1157.546
Industry groups,Education and training,SG01RSC04B01PP1,1999Q2,0.0427293,1884.505
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1999Q2,0.0471970,1941.608
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1999Q2,0.0150858,570.836
Industry groups,Other services,SG01RSC04B01RS2,1999Q2,0.0191050,732.517
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1999Q2,0.0696322,2546.737
Industry groups,Agriculture,SG01RSC04B01AA1,1999Q3,0.0456166,2015.417
Industry groups,Forestry and logging,SG01RSC04B01AA2,1999Q3,0.0077985,236.215
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1999Q3,0.0093450,379.797
Industry groups,Mining,SG01RSC04B01BB1,1999Q3,0.0105740,706.294
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1999Q3,0.0500862,1310.176
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1999Q3,0.0085406,246.382
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1999Q3,0.0170804,465.948
Industry groups,Printing,SG01RSC04B01CC4,1999Q3,0.0063396,207.078
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1999Q3,0.0256782,889.536
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1999Q3,0.0056830,187.854
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1999Q3,0.0179355,697.903
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1999Q3,0.0194549,833.558
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1999Q3,0.0047662,189.868
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1999Q3,0.0286994,1280.944
Industry groups,Construction,SG01RSC04B01EE1,1999Q3,0.0457365,1822.477
Industry groups,Wholesale trade,SG01RSC04B01FF1,1999Q3,0.0548521,2146.437
Industry groups,Retail trade,SG01RSC04B01GH1,1999Q3,0.0449146,1524.119
Industry groups,Accommodation services,SG01RSC04B01GH2,1999Q3,0.0184257,785.155
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1999Q3,0.0465764,1586.989
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1999Q3,0.0405294,909.366
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1999Q3,0.0437726,1813.627
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1999Q3,0.0561219,2307.489
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1999Q3,0.0743312,2143.380
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1999Q3,0.0670712,2705.252
Industry groups,Administrative and support services,SG01RSC04B01MN2,1999Q3,0.0182285,749.764
Industry groups,Local Government administration,SG01RSC04B01OO1,1999Q3,0.0038783,160.863
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1999Q3,0.0342141,1163.513
Industry groups,Education and training,SG01RSC04B01PP1,1999Q3,0.0427293,1889.820
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1999Q3,0.0471970,1960.734
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1999Q3,0.0150858,588.051
Industry groups,Other services,SG01RSC04B01RS2,1999Q3,0.0191050,746.165
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1999Q3,0.0696322,2602.789
Industry groups,Agriculture,SG01RSC04B01AA1,1999Q4,0.0456166,2040.172
Industry groups,Forestry and logging,SG01RSC04B01AA2,1999Q4,0.0077985,227.265
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1999Q4,0.0093450,381.956
Industry groups,Mining,SG01RSC04B01BB1,1999Q4,0.0105740,657.519
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1999Q4,0.0500862,1329.978
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1999Q4,0.0085406,276.652
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1999Q4,0.0170804,489.288
Industry groups,Printing,SG01RSC04B01CC4,1999Q4,0.0063396,214.406
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1999Q4,0.0256782,915.306
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1999Q4,0.0056830,200.361
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1999Q4,0.0179355,725.243
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1999Q4,0.0194549,898.910
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1999Q4,0.0047662,182.903
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1999Q4,0.0286994,1249.879
Industry groups,Construction,SG01RSC04B01EE1,1999Q4,0.0457365,1896.330
Industry groups,Wholesale trade,SG01RSC04B01FF1,1999Q4,0.0548521,2172.290
Industry groups,Retail trade,SG01RSC04B01GH1,1999Q4,0.0449146,1538.069
Industry groups,Accommodation services,SG01RSC04B01GH2,1999Q4,0.0184257,761.403
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1999Q4,0.0465764,1636.293
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1999Q4,0.0405294,962.581
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1999Q4,0.0437726,1843.110
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1999Q4,0.0561219,2333.831
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1999Q4,0.0743312,2156.255
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1999Q4,0.0670712,2709.722
Industry groups,Administrative and support services,SG01RSC04B01MN2,1999Q4,0.0182285,762.287
Industry groups,Local Government administration,SG01RSC04B01OO1,1999Q4,0.0038783,160.606
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1999Q4,0.0342141,1175.800
Industry groups,Education and training,SG01RSC04B01PP1,1999Q4,0.0427293,1899.918
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1999Q4,0.0471970,1974.331
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1999Q4,0.0150858,605.827
Industry groups,Other services,SG01RSC04B01RS2,1999Q4,0.0191050,747.627
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1999Q4,0.0696322,2614.617
Industry groups,Agriculture,SG01RSC04B01AA1,2000Q1,0.0456166,2082.396
Industry groups,Forestry and logging,SG01RSC04B01AA2,2000Q1,0.0077985,240.374
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2000Q1,0.0093450,371.216
Industry groups,Mining,SG01RSC04B01BB1,2000Q1,0.0105740,693.718
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2000Q1,0.0500862,1340.534
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2000Q1,0.0085406,266.647
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2000Q1,0.0170804,489.947
Industry groups,Printing,SG01RSC04B01CC4,2000Q1,0.0063396,208.790
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2000Q1,0.0256782,959.228
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2000Q1,0.0056830,198.879
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2000Q1,0.0179355,710.012
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2000Q1,0.0194549,856.520
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2000Q1,0.0047662,202.347
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2000Q1,0.0286994,1263.310
Industry groups,Construction,SG01RSC04B01EE1,2000Q1,0.0457365,2172.564
Industry groups,Wholesale trade,SG01RSC04B01FF1,2000Q1,0.0548521,2150.814
Industry groups,Retail trade,SG01RSC04B01GH1,2000Q1,0.0449146,1548.634
Industry groups,Accommodation services,SG01RSC04B01GH2,2000Q1,0.0184257,763.791
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2000Q1,0.0465764,1631.916
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2000Q1,0.0405294,969.871
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2000Q1,0.0437726,1871.797
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2000Q1,0.0561219,2378.382
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2000Q1,0.0743312,2167.227
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2000Q1,0.0670712,2763.939
Industry groups,Administrative and support services,SG01RSC04B01MN2,2000Q1,0.0182285,783.063
Industry groups,Local Government administration,SG01RSC04B01OO1,2000Q1,0.0038783,156.874
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2000Q1,0.0342141,1176.462
Industry groups,Education and training,SG01RSC04B01PP1,2000Q1,0.0427293,1914.797
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2000Q1,0.0471970,2011.054
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2000Q1,0.0150858,596.443
Industry groups,Other services,SG01RSC04B01RS2,2000Q1,0.0191050,747.960
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2000Q1,0.0696322,2651.762
Industry groups,Agriculture,SG01RSC04B01AA1,2000Q2,0.0594484,2015.936
Industry groups,Forestry and logging,SG01RSC04B01AA2,2000Q2,0.0084042,244.956
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2000Q2,0.0096783,375.624
Industry groups,Mining,SG01RSC04B01BB1,2000Q2,0.0115317,652.198
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2000Q2,0.0509418,1334.929
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2000Q2,0.0071953,242.063
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2000Q2,0.0193482,497.576
Industry groups,Printing,SG01RSC04B01CC4,2000Q2,0.0059189,199.093
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2000Q2,0.0255128,967.955
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2000Q2,0.0049127,198.946
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2000Q2,0.0167152,688.039
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2000Q2,0.0198931,872.209
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2000Q2,0.0046043,196.207
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2000Q2,0.0264470,1298.161
Industry groups,Construction,SG01RSC04B01EE1,2000Q2,0.0428795,1891.706
Industry groups,Wholesale trade,SG01RSC04B01FF1,2000Q2,0.0552525,2391.536
Industry groups,Retail trade,SG01RSC04B01GH1,2000Q2,0.0446116,1535.542
Industry groups,Accommodation services,SG01RSC04B01GH2,2000Q2,0.0193306,769.422
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2000Q2,0.0442037,1643.324
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2000Q2,0.0404036,1005.883
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2000Q2,0.0449775,1889.881
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2000Q2,0.0560023,2395.844
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2000Q2,0.0711094,2172.420
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2000Q2,0.0633876,2681.302
Industry groups,Administrative and support services,SG01RSC04B01MN2,2000Q2,0.0172444,772.838
Industry groups,Local Government administration,SG01RSC04B01OO1,2000Q2,0.0036008,151.542
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2000Q2,0.0339940,1187.999
Industry groups,Education and training,SG01RSC04B01PP1,2000Q2,0.0422775,1928.768
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2000Q2,0.0476538,2015.860
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2000Q2,0.0151430,582.287
Industry groups,Other services,SG01RSC04B01RS2,2000Q2,0.0189171,743.655
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2000Q2,0.0684593,2618.906
Industry groups,Agriculture,SG01RSC04B01AA1,2000Q3,0.0594484,2132.400
Industry groups,Forestry and logging,SG01RSC04B01AA2,2000Q3,0.0084042,239.010
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2000Q3,0.0096783,383.598
Industry groups,Mining,SG01RSC04B01BB1,2000Q3,0.0115317,677.838
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2000Q3,0.0509418,1361.730
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2000Q3,0.0071953,253.897
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2000Q3,0.0193482,481.720
Industry groups,Printing,SG01RSC04B01CC4,2000Q3,0.0059189,201.719
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2000Q3,0.0255128,961.850
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2000Q3,0.0049127,198.053
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2000Q3,0.0167152,702.339
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2000Q3,0.0198931,893.287
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2000Q3,0.0046043,186.904
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2000Q3,0.0264470,1286.448
Industry groups,Construction,SG01RSC04B01EE1,2000Q3,0.0428795,1869.728
Industry groups,Wholesale trade,SG01RSC04B01FF1,2000Q3,0.0552525,2265.498
Industry groups,Retail trade,SG01RSC04B01GH1,2000Q3,0.0446116,1555.598
Industry groups,Accommodation services,SG01RSC04B01GH2,2000Q3,0.0193306,763.768
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2000Q3,0.0442037,1637.408
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2000Q3,0.0404036,1016.064
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2000Q3,0.0449775,1909.146
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2000Q3,0.0560023,2436.911
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2000Q3,0.0711094,2181.319
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2000Q3,0.0633876,2704.803
Industry groups,Administrative and support services,SG01RSC04B01MN2,2000Q3,0.0172444,788.969
Industry groups,Local Government administration,SG01RSC04B01OO1,2000Q3,0.0036008,153.167
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2000Q3,0.0339940,1167.902
Industry groups,Education and training,SG01RSC04B01PP1,2000Q3,0.0422775,1942.054
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2000Q3,0.0476538,2084.886
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2000Q3,0.0151430,579.113
Industry groups,Other services,SG01RSC04B01RS2,2000Q3,0.0189171,739.788
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2000Q3,0.0684593,2633.112
Industry groups,Agriculture,SG01RSC04B01AA1,2000Q4,0.0594484,2111.026
Industry groups,Forestry and logging,SG01RSC04B01AA2,2000Q4,0.0084042,241.776
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2000Q4,0.0096783,389.789
Industry groups,Mining,SG01RSC04B01BB1,2000Q4,0.0115317,709.891
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2000Q4,0.0509418,1388.945
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2000Q4,0.0071953,222.405
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2000Q4,0.0193482,478.613
Industry groups,Printing,SG01RSC04B01CC4,2000Q4,0.0059189,199.216
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2000Q4,0.0255128,961.141
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2000Q4,0.0049127,197.187
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2000Q4,0.0167152,726.063
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2000Q4,0.0198931,928.972
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2000Q4,0.0046043,197.852
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2000Q4,0.0264470,1278.443
Industry groups,Construction,SG01RSC04B01EE1,2000Q4,0.0428795,1785.631
Industry groups,Wholesale trade,SG01RSC04B01FF1,2000Q4,0.0552525,2247.567
Industry groups,Retail trade,SG01RSC04B01GH1,2000Q4,0.0446116,1560.572
Industry groups,Accommodation services,SG01RSC04B01GH2,2000Q4,0.0193306,782.577
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2000Q4,0.0442037,1662.016
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2000Q4,0.0404036,1019.704
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2000Q4,0.0449775,1910.746
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2000Q4,0.0560023,2470.300
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2000Q4,0.0711094,2193.255
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2000Q4,0.0633876,2682.889
Industry groups,Administrative and support services,SG01RSC04B01MN2,2000Q4,0.0172444,797.374
Industry groups,Local Government administration,SG01RSC04B01OO1,2000Q4,0.0036008,156.185
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2000Q4,0.0339940,1186.207
Industry groups,Education and training,SG01RSC04B01PP1,2000Q4,0.0422775,1954.656
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2000Q4,0.0476538,2112.808
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2000Q4,0.0151430,599.957
Industry groups,Other services,SG01RSC04B01RS2,2000Q4,0.0189171,752.497
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2000Q4,0.0684593,2608.199
Industry groups,Agriculture,SG01RSC04B01AA1,2001Q1,0.0594484,2089.605
Industry groups,Forestry and logging,SG01RSC04B01AA2,2001Q1,0.0084042,247.379
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2001Q1,0.0096783,369.701
Industry groups,Mining,SG01RSC04B01BB1,2001Q1,0.0115317,685.999
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2001Q1,0.0509418,1333.029
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2001Q1,0.0071953,222.486
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2001Q1,0.0193482,484.823
Industry groups,Printing,SG01RSC04B01CC4,2001Q1,0.0059189,214.308
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2001Q1,0.0255128,965.520
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2001Q1,0.0049127,180.889
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2001Q1,0.0167152,665.447
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2001Q1,0.0198931,948.318
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2001Q1,0.0046043,178.810
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2001Q1,0.0264470,1260.691
Industry groups,Construction,SG01RSC04B01EE1,2001Q1,0.0428795,1765.637
Industry groups,Wholesale trade,SG01RSC04B01FF1,2001Q1,0.0552525,2282.481
Industry groups,Retail trade,SG01RSC04B01GH1,2001Q1,0.0446116,1561.731
Industry groups,Accommodation services,SG01RSC04B01GH2,2001Q1,0.0193306,785.196
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2001Q1,0.0442037,1659.674
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2001Q1,0.0404036,1062.749
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2001Q1,0.0449775,1910.409
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2001Q1,0.0560023,2514.980
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2001Q1,0.0711094,2212.636
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,2001Q1,0.0633876,2740.015
Industry groups,Administrative and support services,SG01RSC04B01MN2,2001Q1,0.0172444,808.201
Industry groups,Local Government administration,SG01RSC04B01OO1,2001Q1,0.0036008,157.600
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,2001Q1,0.0339940,1209.950
Industry groups,Education and training,SG01RSC04B01PP1,2001Q1,0.0422775,1966.574
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,2001Q1,0.0476538,2120.831
Industry groups,Arts and recreation services,SG01RSC04B01RS1,2001Q1,0.0151430,619.416
Industry groups,Other services,SG01RSC04B01RS2,2001Q1,0.0189171,770.985
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,2001Q1,0.0684593,2612.147
Industry groups,Agriculture,SG01RSC04B01AA1,2001Q2,0.0625255,2065.474
Industry groups,Forestry and logging,SG01RSC04B01AA2,2001Q2,0.0075626,254.447
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,2001Q2,0.0097272,387.743
Industry groups,Mining,SG01RSC04B01BB1,2001Q2,0.0110532,661.439
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,2001Q2,0.0494036,1427.905
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,2001Q2,0.0067021,241.799
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,2001Q2,0.0163395,467.793
Industry groups,Printing,SG01RSC04B01CC4,2001Q2,0.0055827,217.506
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,2001Q2,0.0267599,958.938
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,2001Q2,0.0047152,197.044
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,2001Q2,0.0168504,730.856
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,2001Q2,0.0212554,935.630
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,2001Q2,0.0042886,195.081
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,2001Q2,0.0255396,1265.358
Industry groups,Construction,SG01RSC04B01EE1,2001Q2,0.0426094,1868.607
Industry groups,Wholesale trade,SG01RSC04B01FF1,2001Q2,0.0577452,2328.015
Industry groups,Retail trade,SG01RSC04B01GH1,2001Q2,0.0476236,1585.047
Industry groups,Accommodation services,SG01RSC04B01GH2,2001Q2,0.0195883,790.120
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,2001Q2,0.0436019,1708.007
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,2001Q2,0.0388094,1076.392
Industry groups,Financial and insurance services,SG01RSC04B01KK1,2001Q2,0.0458866,1911.963
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,2001Q2,0.0558349,2558.618
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,2001Q2,0.0676450,2226.533
